Date,Species,Plot,Sex,Weight,Comments
2014-01-09,DM,1,M,40,NA
2014-01-09,DM,1,F,36,NA
2014-03-13,DM,1,F,51,NA
2014-03-13,DM,1,F,44,NA
2014-03-13,DS,1,F,146,NA
2014-01-08,NA,2,NA,NA,NA
2014-01-08,DM,2,M,44,NA
2014-01-08,PF,2,F,7,NA
2014-01-08,DM,2,M,45,NA
2014-01-08,OT,2,NA,NA,NA
2014-01-08,DS,2,M,157,scale not calibrated
2014-01-08,OX,2,NA,NA,NA
2014-02-18,NA,2,M,218,scale not calibrated
2014-02-18,PF,2,F,7,NA
2014-02-18,DM,2,M,52,NA
2014-03-11,PF,3,M,8,NA
2014-04-08,NA,3,F,NA,NA
2014-05-06,NA,3,NA,NA,NA
2014-05-18,NA,3,F,182,NA
2014-06-09,OT,3,F,29,NA
2014-07-08,NA,3,F,115,NA
2014-07-08,NA,3,M,190,NA
1978-01-08,DM,4,F,37,NA
1978-01-08,DM,4,M,NA,NA
1978-01-08,DM,4,F,48,NA
1978-01-08,DO,4,M,52,NA
1978-01-08,OL,4,M,35,NA
2013-07-16,DM,2,F,,NA
2013-07-16,DM,7,M,33,NA
2013-07-16,DM,3,M,NA,NA
2013-07-16,DM,1,M,NA,NA
2013-07-18,DM,3,M,40,NA
2013-07-18,DM,7,M,48,NA
2013-07-18,DM,4,F,29,NA
2013-07-18,DM,6,F,37,NA
2013-08-19,DO,8,F,52,NA
2013-10-17,DO,3,F,33,NA
2013-10-17,DO,3,F,50,NA
2013-12-10,DO,9,F,40,NA
2013-12-10,DO,1,M,45,NA
2013-12-11,DO,8,F,41,NA
2013-11-12,DS,9,F,117,NA
2013-11-13,DS,11,F,126,NA
2013-11-13,DS,17,M,132,scale not calibrated
2013-11-13,DS,14,F,113,scale not calibrated
2013-11-13,DS,11,F,122,NA
2013-11-13,DS,4,F,107,NA
2013-11-13,DS,4,F,115,NA
